,name,bday,spouse,child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,age_diff,age_actress,age_spouse
1479,Emma Roberts,1991-02-10,,,,Actresssinger,"Rhinebeck, New York, U.S.",,,,,28.14568403184186,
1480,Julia Roberts,1967-10-28,Lyle Lovett ( m.  1993;  div.  1995)     Daniel Moder  ( m.  2002),3,Georgia State University (attended),"Actress, producer","Smyrna, Georgia, U.S.",,,,,51.4343210332861,
1481,Tanya Roberts,1955-10-15,"Barry Roberts (m. 1974, d. 2006; his death)",,,"Actress, producer","The Bronx, New York City, New York, U.S.",,,,,63.47016023600759,
1482,Britt Robertson,1990-04-18,,,,Actress,"Charlotte, North Carolina, U.S.",,,,,28.961580319924433,
1483,Wendy Raquel Robinson,1967-07-25,Marco Perkins ( m.  2003),,Howard University,Actress,"Los Angeles, California, U.S.",,,,,51.694422198950015,
1484,Ann Robinson,1929-05-25,Joseph Valdez (1987–2017) (divorced)  Jaime Bravo  (1957–1967) (divorced) 2 children,Jaime A. Bravo (b. 1958)Estefan A. Bravo (b. 1963),,,"Hollywood, Los Angeles, California, U.S.",,,,,89.86084587636981,
1485,Cindy Robinson,1973-04-06,Christopher Corey Smith  (2015–present),,,Voice actress,,,,,,45.99409981039994,
1486,Holly Robinson Peete,1964-09-18,Sarah Lawrence College,4,,"Actress, talk show host, singer","Philadelphia, Pennsylvania, U.S.",,,,,54.54184548621806,
1487,Lela Rochon,1964-04-17,Adolfo Quiñones ( m.  1982;  div.  1987) Antoine Fuqua  ( m.  1999),2,"Cerritos High SchoolCalifornia State University, Dominguez Hills",Actress,"Los Angeles, California, U.S.",1955-05-11,"Chicago, Illinois, U.S.",Actordancerchoreographer[2],8.936528470810488,54.96348316529429,63.90001163610478
1488,Holland Roden,1986-10-07,,,,Actress,"Dallas, Texas, U.S.",,,,,32.49074245193262,
1489,Michelle Rodriguez,1978-07-12,,,,Actress,"San Antonio, Texas, United States",,,,,40.729104635961036,
1490,Raini Rodriguez,1993-07-01,,,,"Actress, singer","Bryan, Texas, U.S.",,,,,25.75822912174788,
1491,Sarah Roemer,1984-08-28,Chad Michael Murray  ( m.   2015 ),2,,"Actress, model","San Diego, California, U.S.",1981-08-24,"Buffalo, New York, U.S.","Actor, model, spokesperson, writer",3.0116977076873583,34.598930847313774,37.61062855500113
1492,Ginger Rogers,1911-07-16,Jack Pepper ( m.  1929;  div.  1931) Lew Ayres ( m.  1934;  div.  1940) Jack Briggs ( m.  1943;  div.  1949) Jacques Bergerac ( m.  1953;  div.  1957) William Marshall ( m.  1961;  div.  1969),,,"
Actress
dancer
singer
","Independence, Missouri, U.S.",1902-06-14,"Palestine, Texas, U.S.","Singer, dancer, comedian, musician, nightclub manager",9.087113356194857,107.72021328295584,116.8073266391507
1493,Mimi Rogers,1956-01-27,James Rogers ( m.  1976;  div.  1980) Tom Cruise ( m.  1987;  div.  1990) Christopher Ciaffa ( m.  2003),2,,"Actress, producer, poker player","Coral Gables, Florida, U.S.",,,,,63.18541790728078,
1494,Elisabeth Röhm,1973-04-28,Ron Anthony Wooster ( m.  2008;  div.  2014),1,,Actress,"Düsseldorf, West Germany",,,,,45.93386585624619,
1495,Esther Rolle,1920-11-08,Oscar Robinson ( m.  1955;  div.  1975),,Spelman College (attended),Actress,"Pompano Beach, Florida, U.S.",,,,,98.40311573817395,
1496,Rose Rollins,1981-04-30,,,,Actress,"Berkeley, California, U.S",,,,,37.928225767811796,
1497,Ruth Roman,1922-12-22,Jack Flaxman (1939–c. 1941) [4] Mortimer Hall (1950–1956) Bud Burton Moss (1956–1960) William Ross Wilson (1976–1999),Richard Roman Hall (b. 1952),,Actress,"Lynn, Massachusetts, U.S.",,,,,96.28397571476485,
1498,Christy Carlson Romano,1984-03-20,Brendan Rooney ( m.   2013 ),2,,Actresscomediansinger,"Milford, Connecticut, U.S.",,,,,35.03973387543892,
1499,Rebecca Romijn,1972-11-06,John Stamos ( m.   1998 ;  div.   2005 ) Jerry O'Connell  ( m.   2007 ),2,,Actress & former model,"Berkeley, California, U.S.",1963-08-19,"Cypress, California, U.S.","
Actor
producer
musician
singer
comedian
",9.218532892530305,46.407523768455206,55.62605666098551
1500,Xosha Roquemore,1984-12-12,Lakeith Stanfield,1,,Actress,"Los Angeles, California, U.S.",,,,,34.30871270457299,
1501,Anika Noni Rose,1972-09-06,,,Florida A&M University (BA)American Conservatory Theater (MFA),"Actress, singer","Bloomfield, Connecticut, U.S.",,,,,46.574536095881506,
1502,Cristine Rose,1951-01-31,,,,Actress,"Lynwood, California, U.S.",,,,,68.17388447401385,
1503,Emily Rose,1981-02-02,Dairek Morgan ( m.   2009 ),2,,,"Renton, Washington, U.S.",,,,,38.16642367741979,
1504,Margot Rose,1956-07-17,,,,"Actress, composer, lyricist","Pittsburgh, Pennsylvania, U. S.",,,,,62.714497902078755,
1505,Diana Ross,1944-03-26,Robert Ellis Silberstein ( m.  1971;  div.  1977) Arne Næss Jr. ( m.  1986;  div.  2000),"5, including:  Rhonda Ross Kendrick  Tracee Ellis Ross  Evan Ross",,"Singer, actress, record producer","Detroit, Michigan, U.S.",1946-01-05,"Elberon, New Jersey, U.S.",,-1.7796395545425299,75.02412780549909,73.24448825095655
1506,Katharine Ross,1940-01-29,Joel Fabiani ( m.  1960;  div.  1962) John Marion ( m.  1964;  div.  1967) Conrad Hall ( m.  1969;  div.  1974) Gaetano Lisi ( m.  1974;  div.  1979) Sam Elliott  ( m.  1984),1,,"Actress, author","Hollywood, California, U.S.",,,,,79.18027064210764,
1507,Tracee Ellis Ross,1972-10-29,,,,"Actress, model, comedian, television host, activist","Los Angeles, California, U.S.",,,,,46.429427024511114,
1508,Emmy Rossum,1986-09-12,"
 Justin Siegel ( m.   2008 ;  div.   2010 ) 
 Sam Esmail  ( m.   2017 ) 
",,,"
Actress
television director
singer-songwriter
","New York City, New York, U.S.[2]",,,,,32.559190127107335,
1509,Lillian Roth,1910-12-13,Mark Harris (?–?; divorced) William C. Scott (1931–1932; divorced) Benjamin Shalleck (1933–1939; divorced) Eugene Weiner (1940–1941; divorced) Edward Goldman (1942–1945; divorced) Thomas Burt McGuire (?–1963; divorced),,,Actress,"Boston, Massachusetts, U.S.",,,,,108.30886328945837,
1510,Jessica Rothe,1987-05-28,,,,Actress,"Denver, Colorado, U.S.",,,,,31.852810119304298,
1511,Misty Rowe,1950-06-01,"James DePaiva  (1986–1995), J.D. Ligier (2001–2013)",,,Actress,"Glendora, California, U.S.",,,,,68.84193378371904,
1512,Victoria Rowell,1959-05-10,Tom Fahey (1989–1990)   Radcliffe Bailey (2009–2014),2,,"Actress, producer, writer","Portland, Maine, U.S.",,,,,59.90266740590156,
1513,Kelly Rowland,1981-02-11,Tim Weatherspoon ( m.   2014 ),1,,"
Singer
songwriter
actress
television personality
","Atlanta, Georgia, U.S.",,,,,38.1417825143569,
1514,Gena Rowlands,1930-06-19,John Cassavetes ( m.  1954; died 1989) Robert Forrest   ( m.  2012),Nick CassavetesAlexandra CassavetesZoe Cassavetes,,Actress,"Cambria, Wisconsin, U.S.",1929-12-09,"New York City, U.S.","
Actor
filmmaker
",0.5256781453417935,88.79306214364429,89.31874028898608
1515,Jennifer Rubin,1962-04-03,,,,"Actress, Writer, Producer","Phoenix, Arizona, U.S.",,,,,57.00322388550073,
1516,Zelda Rubinstein,,,,,"Actress, human rights activist","Pittsburgh, Pennsylvania, U.S.",,,,,,
1517,Maya Rudolph,1972-07-27,Paul Thomas Anderson  (2001–present),4,,"Actress, voice artist, comedian, singer","Gainesville, Florida, U.S.",,,,,46.68679028316803,
1518,Sara Rue,1979-01-26,Mischa Livingstone ( m.  2001;  div.  2007) Kevin Price  ( m.  2011),2,,Actress,"New York City, New York, U.S.",,,,,40.18699904857731,
1519,Mercedes Ruehl,1948-02-28,David Geiser,2,,Actor,"Jackson Heights, Queens, New York, United States",,,,,71.09796915747756,
1520,Janice Rule,1931-08-15,N. Richard Nash ( m.  1956;  div.  1956) Robert Thom ( m.  1956;  div.  1961) Ben Gazzara ( m.  1961;  div.  1982),3,,"Actress, psychotherapist","Norwood, Ohio, U.S.",,,,,87.63766538669515,
1521,Olesya Rulin,1986-03-17,,,,Actress,"Moscow, Russian SFSR, Soviet Union",,,,,33.04927548135828,
1522,Jennifer Runyon,1960-04-01,Todd Corman ( m.  1991),2,,Actress,"Chicago, Illinois, U.S.",,,,,59.00737181461631,
1523,Debra Jo Rupp,1951-02-24,,,,Actress,"Glendale, California, U.S.",,,,,68.10817470584611,
1524,Barbara Rush,1927-01-04,Jeffrey Hunter  ( m.  1950–1955) Warren Cowan  ( m.  1959–1970) Jim Gruzalski ( m.  1970–1973),2; including Claudia Cowan,"University of California, Santa Barbara (1948)",Actress,"Denver, Colorado, U.S.",1926-11-25,"New Orleans, Louisiana, U.S.","Actor, producer",0.1095162802795403,92.24830078646379,92.35781706674332
1525,Odeya Rush,1997-05-12,,,,"
Actress
model
","Haifa, Israel",,,,,21.895042334887094,
1526,Betsy Russell,1963-09-06,Vincent Van Patten ( m.  1989;  div.  2001),2,,Actress,"San Diego, California, U.S.",1957-10-17,"Bellerose, New York, U.S.","Actor, tennis player, commentator",5.886500065025292,55.576774334859714,61.46327439988501
1527,Gail Russell,1924-09-21,Guy Madison ( m.  1949;  div.  1954),,,Actress,"Chicago, Illinois, U.S.",1922-01-19,"Pumpkin Center, Kern County, California, U.S.",Actor,2.6721972388207833,94.5344531372992,97.20665037611998
1528,Jane Russell,1921-06-21,Bob Waterfield  (m. 1943–1968; divorced) Roger Barrett (m. 1968; his death) John Calvin Peoples (m. 1974–1999; his death),3,,"Actress, model, singer","Bemidji, Minnesota, U.S.",,,,,97.78708666160153,
1529,Keri Russell,1976-03-23,Shane Deary ( m.  2007; separated 2013),3,,"Actress, dancer","Fountain Valley, California, United States",,,,,43.031684428838375,
1530,Rosalind Russell,1907-06-04,Frederick Brisson (1941–1976; her death),1,,"Actress, comedian, screenwriter, singer","Waterbury, Connecticut, U.S.",,,,,111.83528751445957,
1531,Theresa Russell,1957-03-20,Nicolas Roeg   (1982–?; divorced),2,,Actress,"San Diego, California, U.S.",,,,,62.04097277835958,
1532,Deanna Russo,,Michael Cassady ( m.  2014),1,,Actress,"New Jersey, USA",,,,,,
1533,Rene Russo,1954-02-17,Dan Gilroy  ( m.   1992 ),1,,"Actress, producer, model","Burbank, California, U.S.",1959-06-24,"Santa Monica, California, U.S.",Filmmaker,-5.347132384648555,65.12659397523564,59.779461590587076
1534,Kelly Rutherford,1968-11-06,Carlos Tarajano ( m.  2001;  div.  2002) Daniel Giersch ( m.  2006;  div.  2010),2,,Actress,"Elizabethtown, Kentucky, U.S.",,,,,50.40760590566541,
1535,Amy Ryan,1969-05-03,Eric Slovin ( m.  2011),1,,Actress,"New York City, New York, U.S.",,,,,49.92025845842146,
1536,Blanchard Ryan,1967-01-12,,,,,"Boston, Massachusetts, U.S.",,,,,52.225576158305785,
1537,Debby Ryan,1993-05-13,Josh Dun  (engaged),,Fossil Ridge High School,"
Actress
singer
musician
model
","Huntsville, Alabama, U.S.",,,,,25.892386565090316,
1538,Eileen Ryan,,Leo Penn ( m.  1957; died 1998),Michael PennSean PennChris Penn,,Actress,"New York City, U.S.",1921-08-27,"Lawrence, Massachusetts, U.S.","Television director, actor",,,97.60364689213331
1539,Irene Ryan,1902-10-17,Tim Ryan  ( m.  1922–1942) ; divorced Harold E. Knox ( m.  1946–1961) ; divorced,,,Actress,"El Paso, Texas, United States[1]",,"Bayonne, New Jersey, United States",Actor,,116.46508826327714,
1540,Jeri Ryan,1968-02-22,Jack Ryan ( m.  1991;  div.  1999) Christophe Émé  ( m.  2007),2,,Actress,"Munich, West Germany",,,,,51.11398591346845,
1541,Meg Ryan,1961-11-19,Dennis Quaid ( m.  1991;  div.  2001),"2, including Jack Quaid",,"Actress, producer","Fairfield, Connecticut, U.S.",1954-04-09,"Houston, Texas, U.S.","
Actor
producer
director
singer
writer
",7.61411938643504,57.37284133144418,64.98696071787921
1542,Winona Ryder,1971-10-29,Scott Mackinlay Hahn (2011–present),,,Actress,"Winona, Minnesota, U.S.",,,,,47.43150098906891,
1543,Katee Sackhoff,1980-04-08,Karl Urban   (2014–present) [1],,,Actress,"Portland, Oregon, U.S.",,,,,38.98779577951635,
1544,Katey Sagal,1954-01-19,Freddy Beckmeier ( m.  1977;  div.  1981)     Fred Lombardo ( m.  1986;  div.  1989)     Jack White ( m.  1993;  div.  2000)     Kurt Sutter    ( m.  2004),4,,Actress • singer • songwriter,"Los Angeles, California, U.S.",,,,,65.2059932784383,
1545,Halston Sage,1993-05-10,,,,Actress,"Los Angeles, California, U.S.",,,,,25.90060028611128,
1546,Eva Marie Saint,1924-07-04,Jeffrey Hayden ( m.   1951 ; died  2016 ),2,,Actress,"Newark, New Jersey, U.S.",,,,,94.75074779085128,
1547,Susan Saint James,1946-08-14,Richard Neubert (1967–1968) Tom Lucas (1971–1977) Dick Ebersol  (1981–present),"5, including Charlie Ebersol",,Actress,"Los Angeles, California, U.S.",,,,,72.6394108024121,
1548,Jill St. John,1940-08-19,Neil Dubin ( m.  1957;  div.  1958) Lance Reventlow ( m.  1960;  div.  1963) Jack Jones ( m.  1967;  div.  1969) Robert Wagner  ( m.  1990),,Hollywood Professional School,Actress,"Los Angeles, California, U.S.",,,,,78.62447551968897,
1549,Zoe Saldana,1978-06-19,Marco Perego-Saldana ( m.  2013),3,,"Actress, dancer","Passaic, New Jersey, U.S.",,,,,40.792076497121776,
1550,Laura San Giacomo,1962-11-14,Cameron Dye  ( m.  1990–1998) Matt Adler  ( m.  2000),1,Carnegie Mellon University (BFA),Actress,"West Orange, New Jersey, U.S.",1959-04-09,"New Orleans, Louisiana, U.S.",Actor,3.6003477141898874,56.387194808928314,59.9875425231182
1551,Kiele Sanchez,1977-10-13,Zach Helm ( m.  2001;  div.  2008) Zach Gilford  ( m.  2012),2,Glenbard North High School,Actress,"Chicago, Illinois, U.S.",1975-01-21,"Santa Clara, California, United States","Film director, film producer, screenwriter",2.7269553789605534,41.473815341861915,44.20077072082247
1552,Erin Sanders,1991-01-19,,,,Actress,"Santa Monica, California, U.S.",,,,,28.205917985995605,
1553,Adam Sandler,1966-09-09,Jacqueline Titone ( m.  2003),2,,"
Actor
comedian
screenwriter
film producer
musician
","New York City, New York, U.S.",,,,,52.56781453417935,
1554,Mia Sara,1967-06-19,American,2,Saint Ann's School,Actress,"Brooklyn Heights, New York, U.S.",1963-01-11,"Marylebone, London, England","Actor, director",4.435409351321383,51.7929868512016,56.22839620252298
1555,Susan Sarandon,1946-10-04,Chris Sarandon ( m.  1967;  div.  1979),3; including Eva Amurri,,"Actress, activist","New York City, New York, U.S.",1942-07-24,"Beckley, West Virginia, US",Actor,4.197211441713383,72.49977754505568,76.69698898676907
1556,Tura Satana,1938-07-10,John Satana ( m.  1951–1952) Endel Jurman ( m.  1981–2000),2,,Actress,"Hokkaidō, Japan",,,,,80.73540182207711,
1557,Morgan Saylor,1994-10-26,,,,Actress,"Chicago, Illinois, US",,,,,24.43855794437942,
1558,Allison Scagliotti,1990-09-21,,,,"Actress, director","Monterey, California, U.S.",,,,,28.534466826834226,
1559,Gia Scala,,Don Burnett (1959-1970; divorced),,,"Actress, model","Liverpool, Lancashire[1], England",,,,,,
1560,Diana Scarwid,1955-08-27,Eric Scheinbart ( m.  1978;  div.  1995),2,The American Academy of Dramatic ArtsPace University,Actress,"Savannah, Georgia, U.S",,,,,63.60431767935002,
1561,Cassie Scerbo,1990-03-30,,,,"Actress, singer, dancer","Long Island, New York, U.S.",,,,,29.013600553057216,
1562,Kristen Schaal,1978-01-24,Rich Blomquist [1] [2]  ( m.  2012),1,,"
Actress
voice actress
comedian
writer
","Longmont, Colorado, U.S.",,,,,41.191810920142096,
1563,Natalie Schafer,1900-11-05,Louis Calhern ( m.  1933;  div.  1942),,,Actress,"Red Bank, New Jersey, U.S.[1]",1895-02-19,"Brooklyn, New York, U.S.",Actor,5.708536109571038,118.41174014524597,124.120276254817
1564,Anne Schedeen,1949-01-08,Christopher Barrett ( m.  1982),1,,Actress,"Portland, Oregon, U.S.",,,,,70.23552845027619,
1565,Taylor Schilling,1984-07-27,,,Fordham University (BFA),Actress,"Boston, Massachusetts, U.S.",,,,,34.6865438715374,
1566,Carly Schroeder,1990-10-18,,,,Actress,"Valparaiso, Indiana, U.S.",,,,,28.460543337645536,
1567,Annabella Sciorra,1960-03-29,Joe Petruzzi ( m.  1989;  div.  1993),,,Actress,"Brooklyn, New York, U.S.[1]",,,,,59.015585535637285,
1568,Ashley Scott,1977-07-13,"Anthony Rhulen (2004–2008, divorced) [1] Steve Hart  (January 2010 – present)",2,,"Actress, model","Metairie, Louisiana, U.S.",,,,,41.725702786504854,
1569,Lizabeth Scott,1922-09-29,,,,"Actress, singer, model","Scranton, Pennsylvania, United States",,,,,96.51395990335189,
1570,Martha Scott,1912-09-22,Carlton Alsop ( m.  1940;  div.  1946) Mel Powell ( m.  1946; died 1998),3,,"Film, television and stage actress","Jamesport, Missouri, U.S.",,,,,106.53196164192283,
1571,Stefanie Scott,1996-12-06,,,,"Actress, singer","Chicago, Illinois, U.S.",,,,,22.32489373498429,
1572,Amy Sedaris,1961-03-29,,,,"
Actress
comedian
writer
","Endicott, New York, U.S.",,,,,58.01624947808648,
1573,Kyra Sedgwick,1965-08-19,Kevin Bacon  ( m.   1988 ),"2, including Sosie Bacon",,"Actress, producer, director","New York City, U.S.",1958-07-08,"Philadelphia, Pennsylvania, U.S.","Actor, director, producer, musician",7.115820311163131,53.62464663887691,60.740466950040044
1574,Sandra Seacat,1936-10-02,Arthur I. Kaufman (1959–1968 or 1969; divorced) [3] Michael Ebert (?–1978; divorced) [4] [5] Thurn Hoffman (?–present),1,,"Acting teacher, actor, director","Greensburg, Kansas, U.S.",,,,,82.5040897485917,
1575,Marian Seldes,1928-08-23,Julian Claman  (1953–1961; divorced) Garson Kanin  (1990–1999; his death),Katharine Claman,,,"Manhattan, New York City",,,,,90.61377030329164,
1576,Christian Serratos,1990-09-21,David Boyd  (2014–present),1,,Actress,"Pasadena, California, U.S.",,,,,28.534466826834226,
1577,Joan Severance,1958-12-23,Eric Milan ( m.  1977;  div.  1984),,,"Actress, fashion model","Houston, Texas, U.S",,,,,60.28049857286597,
1578,Chloë Sevigny,1974-11-18,,,,Actressmodelfashion designer,"Springfield, Massachusetts, US",,,,,44.37599676926973,
1579,Amanda Seyfried,1985-12-03,Thomas Sadoski  ( m.  2017),1,,Actressmodelsinger-songwriter,"Allentown, Pennsylvania, U.S.",1976-07-01,"New Haven, Connecticut, U.S.",Actor,9.423875918054444,33.33401781008508,42.75789372813952
1580,Sarah Shahi,1980-01-10,Steve Howey  ( m.  2009),3,Trinity High School,"Actress, model","Euless, Texas, U.S.",1977-07-12,"San Antonio, Texas, U.S.",Actor,2.496971190373519,39.23146950313833,41.72844069351184
1581,Karen Sharpe,1934-09-20,Chester Stevens (1957-62; divorced) Stanley Kramer  (1966-2001; his death),Jennifer KramerKatharine Kramer[1],,Film and television actress and producer,"San Antonio, Texas, U.S.",,,,,84.53835465478414,
1582,Lindsey Shaw,1989-05-10,,,,Actress,"Lincoln, Nebraska, U.S.",,,,,29.90068242332149,
1583,Vinessa Shaw,1976-07-19,Kristopher Gifford,1,,Actressmodel,"Los Angeles, California, U.S.",,,,,42.70861140201373,
1584,Alia Shawkat,1989-04-18,,,,"
Actress
producer
","Riverside, California, U.S.",,,,,29.96091637747524,
1585,Lin Shaye,1943-10-12,Marshall Rubinoff (?–1968; his death) Clayton Landey  (1988–2003; divorced; 1 child),,,Actress,"Detroit, Michigan, U.S.",,,,,75.47862036865918,
1586,Ally Sheedy,1962-06-13,David Lansbury ( m.  1992;  div.  2008),1,,"Actress, author","New York, New York, U.S.",,,,,56.80883248800455,
1587,Kate Lyn Sheil,,Actress,,,Actress,United States,,,,,,
1588,Adrienne Shelly,1966-06-24,Andy Ostroy (m. 1994),Sophie Ostroy (b. 2003)[2],,"Actress, director, screenwriter","Queens, New York City, New York, U.S.",,,,,52.77863337371746,
1589,Marley Shelton,1974-04-12,Beau Flynn  ( m.  2001),2,,Actress,"Los Angeles, California, U.S.",,,Film producer,,44.9783363108072,
1590,Cybill Shepherd,1950-02-18,David Ford ( m.  1978;  div.  1982) Bruce Oppenheim ( m.  1987;  div.  1990),"3, including Clementine Ford",,"Actress, singer","Memphis, Tennessee, U.S.",,,,,69.12393820543885,
1591,Sherri Shepherd,1967-04-22,Jeff Tarpley ( m.  2001;  div.  2010) Lamar Sally ( m.  2011;  sep.  2014),2,,"Actress, comedian, author, television personality","Chicago, Illinois, U.S.",,,,,51.95178545760693,
1592,Ann Sheridan,1915-02-21,Edward Norris ( m.  1936;  div.  1938) George Brent ( m.  1942;  div.  1943) Scott McKay ( m.  1966; her death 1967),,,"Actress, singer","Denton, Texas, U.S.",,,,,104.11712766175897,
1593,Lisa Sheridan,,,,Carnegie Mellon School of Drama,Actress,"Macon, Georgia, U.S.",,,,,,
1594,Margaret Sheridan,1926-10-29,William F. Pattison (1946–1952) (1 child)  Paul Wellington Wildman (1953–1982) (2 children) her death,3[1],,,"Los Angeles, California, U.S.",,,,,92.43174055593202,
1595,Brooke Shields,1965-05-31,Andre Agassi ( m.  1997;  div.  1999) Chris Henchy  ( m.  2001),2,,"Actress, model","Manhattan, New York, U.S.",,,,,53.84367919943599,
1596,Talia Shire,1946-04-25,David Shire ( m.  1970;  div.  1980) Jack Schwartzman ( m.  1980; died 1994),"3, including Jason and Robert",,Actress,"Lake Success, New York, U.S.",1937-07-03,"Buffalo, New York, U.S.",Composer,8.810584748489017,72.94331848018783,81.75390322867683
1597,Anne Shirley,1918-04-17,John Payne ( m.  1937;  div.  1943) Adrian Scott ( m.  1945;  div.  1948) Charles Lederer ( m.  1949; died 1976),"2, including Julie Payne",,Actress,"New York City, New York, U.S.",1912-05-23,"Roanoke, Virginia, U.S.","Actor, singer",5.900189600060234,100.9657966967152,106.86598629677543
1598,Dinah Shore,,George Montgomery ( m.  1943;  div.  1963) Maurice F. Smith ( m.  1963;  div.  1964),2,,"Singer, actress, talk show host","Winchester, Tennessee, U.S.",1916-08-29,"Brady, Pondera CountyMontana, U.S.","Actor, stuntman, painter, sculptor, wood craftsman",,,102.59758927288034
1599,Elisabeth Shue,1963-10-06,Davis Guggenheim  ( m.  1994),3,,Actress,"Wilmington, Delaware,  U.S.",1963-11-03,"St. Louis, Missouri, U.S.","Film director, television director, film producer, television producer",-0.07666139619567822,55.49463712465006,55.41797572845438
1600,Jane Sibbett,1962-11-28,Karl Fink ( m.  1992–2016),3,,"Actress, comedian","Berkeley, California, U.S.",,,,,56.348864110830476,
1601,Gabourey Sidibe,1983-05-06,,,,Actress,"Bedford–Stuyvesant, Brooklyn, New York City, U.S.",,,,,35.91312621066825,
1602,Sylvia Sidney,1910-08-08,"July 1, 1999 (1999-07-01)  (aged 88) New York City, U.S.",1,,Actress,"The Bronx, New York City, U.S.",,,,,108.65657747934591,
1603,Drew Sidora,1985-05-01,Ralph Pittman (2014–present),3,,"Singer,  Actress","Chicago, Illinois, U.S.",,,,,33.9254057235946,
1604,Maggie Siff,1974-06-21,Paul Ratliff ( m.   2012 ),1,Bryn Mawr College (BA)New York University (MFA),"Actress, singer","New York City, New York, U.S.",,,,,44.786682820318006,
1605,Jamie-Lynn Sigler,1981-05-15,A. J. DiScala ( m.  2003;  div.  2006) Cutter Dykstra  ( m.  2016),2,,"Actress, singer","Jericho, New York, U.S.",,,,,37.88715716270697,
1606,Karen Sillas,1963-06-05,Peter Stormare  (1989–2006) Ivan Menchell ( m.  2007),2,,Actress,"Brooklyn, New York, U.S.",,,,,55.83139968650965,
1607,Leslie Silva,1968-04-21,,,"University of Connecticut, Storrs (BFA)Juilliard School (GrDip)",Actress,"Schenectady, New York, U.S.",,,,,50.952449400056125,
1608,Alicia Silverstone,1976-10-04,Christopher Jarecki ( m.  2005;  div.  2018),1,,Actress,"San Francisco, California, U.S.",,,,,42.49779256247562,
1609,Jessica Simpson,1980-07-10,Nick Lachey ( m.  2002;  div.  2006) Eric Johnson  ( m.  2014),3,,Singeractressfashion designerbusinesswoman,"Abilene, Texas, U.S.",1973-11-09,"Harlan, Kentucky, U.S.","Actor, singer-songwriter, producer, television personality",6.666803562017016,38.73317042786642,45.399973989883435
1610,Molly Sims,1973-05-25,Scott Stuber  ( m.  2011),3,,"Actress, model","Murray, Kentucky, U.S.",,"Granada Hills, Los Angeles, United States","Film producer, Netflix executive",,45.859942367057506,
1611,Nancy Sinatra,1940-06-08,Tommy Sands ( m.  1960;  div.  1965) Hugh Lambert ( m.  1970; died 1985),,,Singeractress,"Jersey City, New Jersey, U.S.",,,,,78.82160482419215,
1612,Jaz Sinclair,1994-07-22,,,,Actress,"Dallas, Texas,[1] U.S.",,,,,24.701397017050315,
1613,Lori Singer,1957-11-06,Richard Emery ( m.  1980;  div.  1996)   [1],1 [2],,Actresscellist,"Corpus Christi, Texas, U.S.",1946-03-05,Boston Massachusetts,,11.674435477798996,61.40851625974524,73.08295173754424
1614,Marina Sirtis,1955-03-29,Michael Lamper ( m.  1992),,,Actress,"Hackney, London,[1] England, United Kingdom",,,,,64.01774163740528,
1615,Jennifer Sky,1976-10-13,Alex Band  ( m.  2004–2009),,,Actress,"Jensen Beach, Florida, U.S.",,,,,42.47315139941272,
1616,Azura Skye,1981-11-08,,,,Actress,"Northridge, Los Angeles, California, U.S.",,,,,37.40254762247,
1617,Ione Skye,1970-09-04,Adam Horovitz ( m.  1992;  div.  1999) Ben Lee  ( m.  2008),2,,"
Actress
author
painter
","Hampstead, London, England",,,,,48.581421932004076,
1618,Jenny Slate,1982-03-25,,,Milton Academy,"
Actress
comedian
voice artist
author
","Milton, Massachusetts, U.S.",,,,,37.02745436251258,
1619,Helen Slater,1963-12-15,Robert Watzke ( m.  1989),1,,"Actress, singer-songwriter","Bethpage, New York, U.S.",,,,,55.30298363416087,
1620,Lindsay Sloane,1977-08-08,Dar Rollins ( m.  2004),2,,Actress,"Long Island, New York, U.S.",,,,,41.654517204323156,
1621,Amy Smart,1976-03-26,Carter Oosterhouse  ( m.  2011),1,,Actress,"Topanga, California, U.S.",1976-09-19,"Traverse City, Michigan, U.S.",,-0.48460954023696584,43.02347070781741,42.53886116758044
1622,Jean Smart,1951-09-13,Richard Gilliland  ( m.  1987),2,Ballard High School,Actress,"Seattle, Washington, U.S.",1950-01-23,"Fort Worth, Texas, U.S.",,1.6372683901791276,67.55785539744143,69.19512378762056
1623,Amber Smith,1971-03-02,,,,,"Tampa, Florida, United States",,,,,48.09133657775314,
1624,Jaclyn Smith,1945-10-26,Roger Davis ( m.  1968;  div.  1975) Dennis Cole ( m.  1978;  div.  1981) Anthony B. Richmond ( m.  1981;  div.  1989) Brad Allen ( m.  1997),2,Trinity University (Texas) (withdrawn),,"Houston, Texas, United States",1939-04-05,"Bowling Green, Kentucky",,6.560025188744464,73.43887964845274,79.9989048371972
1625,Kellita Smith,1969-01-15,,,Santa Rosa Junior College,Actresscomedianmodel,"Chicago, Illinois, U.S.[1][2]",,,,,50.21595241517622,
1626,Madolyn Smith,,Mark Osborne  ( m.  1988),2 daughters,University of Southern California,Actress,"Albuquerque, New Mexico, U.S.",,,,,,
1627,Tasha Smith,1971-02-28,"Rory ""Keith"" Douglas ( m.  2010; annulled 2015) [1]",,,"Actress, director, producer","Camden, New Jersey, U.S.",,,,,48.096812391767116,
1628,Lois Smith,1930-11-03,Wesley Smith ( m.  1948;  div.  1970),1,,Actress,"Topeka, Kansas, U.S.",,,,,88.41796888368687,
