,Unnamed: 0,name,bday,name_spouse,num_of_child,edu,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_sp
1632,1632,Carrie Snodgress,1945-10-27,Robert Jones (m. 1981),Zeke,,Actress,"Barrington, Illinois , U.S.",,,,,,,73.44435546246672,
1633,1633,Brittany Snow,1986-03-09,,,,Actress producer singer,"Tampa, Florida , U.S.",,,,,,,33.07939245843515,
1634,1634,Liza Snyder,1968-03-20,,,,Actress,"Northampton ,  Massachusetts",,,,,,,51.048276145300726,
1635,1635,Leelee Sobieski,1983-06-10,Matthew W. Davis ( m.  2008;  div.  2009)     Adam Kimmel  ( m.   2010 ),2,,"Actress, artist","New York City , U.S.",1978-05-08,"Salt Lake City ,  Utah , U.S.",Actor,Kiley Casciano ( m.  2018),,5.089769125991635,35.825513186444624,40.91528231243626
1636,1636,Rena Sofer,1968-12-02,Wally Kurth  ( m.  1995–1997) Sanford Bookstaver  ( m.  2003),2,,Actress,"Arcadia, California , U.S.",1958-07-31,"Billings, Montana , U.S.","Actor, singer",Cynthia Ettinger  ( m.  1990–1993) Rena Sofer  ( m.  1995–1997) Debra Yuhasz ( m.  2003),3,10.341074765395593,50.34463404450468,60.68570880990027
1637,1637,Marla Sokoloff,1980-12-19,Alec Puro  ( m.   2009 ),2,,Actress,"San Francisco, California , U.S.",1975-04-25,"Santa Monica, California , U.S.","
 Musician 
 songwriter 
 composer 
",Marla Sokoloff  ( m.  2009),2,5.653777969431268,38.29784321375524,43.95162118318651
1638,1638,Sarah Sokolovic,,,,,Actress,,,,,,,,,
1639,1639,P. J. Soles,1950-07-17,J. Steven Soles ( m.  1973;  div.  1975) Dennis Quaid ( m.  1978;  div.  1983) Skip Holm ( m.  1983;  div.  1998),2,,Actress,"Frankfurt ,  Germany",,,,,,,68.72420378241853,
1640,1640,Bonnie Somerville,1974-02-24,,,,"Actress, singer","Brooklyn ,  New York , U.S.",,,,,,,45.11523166115663,
1641,1641,Phyllis Somerville,1943-12-12,,,,"Actress, singer","Iowa City, Iowa , U.S.",,,,,,,75.31982176225384,
1642,1642,Suzanne Somers,1946-10-16,Bruce Somers (1965–68)  Alan Hamel  (1977–present),Bruce Somers Jr (born 1965),,"Actress, author, singer, businesswoman","San Bruno, California , U.S.",,,,,,,72.47513638199278,
1643,1643,Gale Sondergaard,1899-02-15,Neill O'Malley ( m.  1922;  div.  1930)     Herbert J. Biberman ( m.  1930; died 1971),2,,Actress,"Litchfield, Minnesota , U.S.",,,,,,,120.13935946665572,
1644,1644,Brenda Song,1988-03-27,Macaulay Culkin  (2017–present),,,Actress,"Carmichael, California , U.S.",,,,,,,31.028700110200756,
1645,1645,Mira Sorvino,1967-09-28,Christopher Backus  ( m.  2004),4,,Actress,"Manhattan , New York, U.S.",1981-10-30,"Mission Viejo, California","Actor, director and screenwriter",Mira Sorvino  ( m.  2004),4,-14.08926945796286,51.52467196451673,37.435402506553864
