,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp
981,Hope Lange,1933-11-28,"Don Murray ( m.  1956;  div.  1961) Alan J. Pakula ( m.  1963;  div.  1971) Charles Hollerith, Jr. ( m.  1986, her death)",Christopher Murray Patricia Murray,,Actress,"Redding ,  Connecticut , U.S.",1929-07-31,"Hollywood, California ,  U.S.",Actor,Hope Lange ( m.  1956;  div.  1961) Bettie Johnson  ( m.  1962),"5, including   Christopher Murray"
982,Jessica Lange,1949-04-20,Paco Grande ( m.  1971;  div.  1981),3; including  Shura Baryshnikov,,Actress photographer producer,"Cloquet, Minnesota , U.S.",,,,,
983,Heather Langenkamp,1964-07-17,"
 Alan Pasqua ( m.  1984;  div.  1987) 
 David Leroy Anderson  ( m.  1989) 
",2,,Actress writer director producer prosthetic makeup coordinator,"Tulsa, Oklahoma , U.S.",,,,,
984,Brooke Langton,1970-11-27,,,,Actress,Arizona [ inconsistent ] . USA.,,,,,
985,Angela Lansbury,1925-10-16,Richard Cromwell ( m.  1945;  div.  1946) Peter Shaw ( m.  1949; died 2003),2,,Actress singer songwriter producer writer,"Regent's Park ,  London , England [1]",1910-01-08,"Long Beach, California , U.S.",,Angela Lansbury ( m.  1945;  div.  1946),
986,Joi Lansing,1929-04-06,"Jerome ""Jerry"" Safron (1950; annulled) Lance Fuller  (1951–53; divorced) Stan Todd (1960–72; her death)",,,"Model, actress, singer","Salt Lake City, Utah , U.S.",,,,,
987,Liza Lapira,1981-12-03,,,,Actress,"Queens ,  New York , U.S.",,,,,
988,Brie Larson,1989-10-01,Alex Greenwald  (2013–2019),,American Conservatory Theater,"
 Actress 
 filmmaker 
","Sacramento, California , U.S.",,,,,
989,Ali Larter,1976-02-28,Hayes MacArthur  ( m.  2009),2,,"
 Actress 
 model 
","Cherry Hill ,  New Jersey , U.S.",1977-04-16,"Chicago, Illinois , U.S.","
 Actor 
 comedian 
 writer 
",Ali Larter  ( m.  2009),
990,Louise Lasser,,Woody Allen ( m.  1966;  div.  1970),,,"Actress, television writer","New York City , U.S.",1935-12-01,"Brooklyn , New York City, U.S.","Director, writer, actor, comedian","
 Harlene Susan Rosen ( m.  1956;  div.  1962) 
 Louise Lasser ( m.  1966;  div.  1970) 
 Soon-Yi Previn  ( m.  1997) 
","5, including  Ronan Farrow"
991,Louise Latham,1922-09-23,,,,Actress,"Hamilton ,  Texas , U.S.",,,,,
992,Sanaa Lathan,1971-09-19,,,"University of California, Berkeley (BA)Yale University (MFA)","Actress, voice actress","New York City ,  New York , U.S.",,,,,
993,Queen Latifah,1970-03-18,"
 Andrae Crouch and his Choir 
 L.A. Mass Choir 
 Lakim Shabazz 
 Apache 
 Chill Rob G 
 DJ Mark the 45 King 
 Native Tongues 
 De La Soul 
 Jungle Brothers 
 A Tribe Called Quest 
",,,"
 Singer 
 songwriter 
 rapper 
 actress 
 voice actress 
 model 
 producer 
 talk show host 
 record producer 
 speech composer 
","Newark, New Jersey , U.S.",,,,,
994,Ashley Laurence,1966-05-28,,,,Actress,"Los Angeles, California , United States",,,,,
995,Oona Laurence,2002-08-01,,,,Actress,"New York City ,  New York , U.S.",,,,,
996,Piper Laurie,1932-01-22,Joe Morgenstern ( m.  1962;  div.  1982),1,,Actress,"Detroit ,  Michigan , U.S.",,,,,
997,Linda Lavin,1937-10-15,Ron Leibman ( m.  1969;  div.  1980) Kip Niven ( m.  1982;  div.  1992) Steve Bakunas  ( m.  2005),,,"Actress, singer","Portland, Maine , U.S.",1937-10-11,"New York City , U.S.",Actor,Linda Lavin ( m.  1969;  div.  1981) Jessica Walter  ( m.  1983),
998,Barbara Lawrence,1930-02-24,"
 Jeffrey Stone  (John Forrest Fontaine)  (m. 1947–1949; divorced) 
 John Murphy  (m. 1951–1957; divorced) (2 children) 
 Lester R. Nelson  (m. 1961–1976; divorced) (2 children) 
",4,,Actress,"Carnegie, Oklahoma",,,,,
999,Jennifer Lawrence,1990-08-15,,,,Actress,"Indian Hills, Kentucky , U.S.",,,,,
1000,Vicki Lawrence,1949-03-26,Bobby Russell ( m.  1972;  div.  1974) Al Schultz ( m.  1974),2,Morningside High School,"Actress, comedian, singer, dancer, writer","Inglewood, California , United States",,,,,
1001,Bianca Lawson,1979-03-20,,,Stella Adler Studio of Acting  Marymount High School,Actress,"Los Angeles ,  California , U.S.",,,,,
1002,Maggie Lawson,1980-08-12,Ben Koldyke   (m. 2015-2017) [1] [2],,,Actress,"Louisville, Kentucky , U.S.",,,,,
1003,Nicole Leach,1979-05-10,,,,"Actress, singer, dancer, activist","Livingston, New Jersey , United States",,,,,
1004,Cloris Leachman,1926-04-30,George Englund ( m.  1953;  div.  1979),5 (1 deceased),,"Actress, comedian","Des Moines, Iowa , U.S.",1926-06-22,"Washington, D.C. , U.S.","Film director, screenwriter",Cloris Leachman ( m.  1953;  div.  1979)   Bonnie Graves ( m.  1980;  div.  1992),7
1005,Sharon Leal,1972-10-17,Bev Land (married 2001–?),1,,"Actress, singer","Tucson, Arizona , U.S.",,,,,
1006,Michael Learned,1939-04-09,Peter Donat ( m.  1956;  div.  1972) Glenn Chadwick ( m.  1974;  div.  1977) William Parker IV ( m.  1979;  div.  1988) John Doherty  ( m.  1988),3,,Actress,"Washington, D.C. , U.S.",1928-01-20,"Kentville ,  Nova Scotia ,  Canada","Actor, screenwriter",Michael Learned ( m.  1956;  div.  1972)     Marijke DeJong ( m.  1983),"3, including  Lucas Donat"
1007,Kelly LeBrock,1960-03-24,Victor Drai ( m.  1984;  div.  1986) Steven Seagal ( m.  1987;  div.  1996) Fred Steck ( m.  2007;  div.  2008),3,,Actress supermodel,"New York City ,  New York , U.S.",1947-07-25,"Casablanca ,  Morocco","Nightclub   owner ,  film producer",Kelly Le Brock ( m.  1984;  div.  1986) Loryn Locklin ( m.  1990;  div.  1998) Yolanda Krupiarz  ( m.   2016 ),3
1008,Gwen Lee,1904-11-12,,,,Actress,"Hastings, Nebraska , U.S.",,,,,
1009,Peggy Lee,1920-05-26,Dave Barbour ( m.  1943;  div.  1951) Brad Dexter ( m.  1953;  div.  1953) Dewey Martin ( m.  1956;  div.  1958) Jack Del Rio ( m.  1964;  div.  1965),1,,Singer songwriter actress composer,"Jamestown , North Dakota, U.S.",,,,,
1010,Robinne Lee,1974-07-16,,,,"Actress, author","Mount Vernon, New York , U.S",,,,,
1011,Sheryl Lee,1967-04-22,Jesse Diamond (m. 2000; divorced [1] ),1,,Actress,"Augsburg ,  Bavaria ,  West Germany",,,,,
1012,Cassandra Lee Morris,1982-04-19,Steve Shebby ( m.   2016 ),,,Voice actress,"Connecticut , U.S. [1]",,,,,
1013,Andrea Leeds,1914-08-18,Robert Stewart Howard ( m.  1939–1962),,,Actress,"Butte ,  Montana , U.S.",,,,,
1014,Erica Leerhsen,1976-02-14,Antony Galvan ( m.  2007–2008) David Wilson ( m.  2012),,,Actress,"New York City ,  New York , U.S.",,,,,
1015,Hudson Leick,1969-05-09,,,,"Actress, model, yoga instructor, intuitive counselor","Cincinnati, Ohio , U.S.",,,,,
1016,Cherami Leigh,1988-07-19,Jon Christie ( m.   2014 ) [3],,,Voice actress,,,,,,
1017,Chyler Leigh,1982-04-10,Actress singer model,3,,Actress singer model,"Charlotte, North Carolina , U.S.",1978-09-29,"Anchorage, Alaska , U.S.","Actor, musician, singer","Los Angeles ,  California , U.S.",3
1018,Janet Leigh,1927-07-06,"
 John Carlisle ( m.  1942; annulled 1942) 
 Stanley Reames ( m.  1945;  div.  1949) 
 Tony Curtis ( m.  1951;  div.  1962) 
 Robert Brandt ( m.  1962) 
",Kelly Curtis Jamie Lee Curtis,,Actress singer dancer author,"Merced ,  California , U.S.",,,,,
1019,Katie Leigh,1958-12-16,Mark Pavlakovich ( m.   1983 ;  div.  2003) Vincent Panzero  ( m.  2009),3,,Voice actress,"Carmel-by-the-Sea, California , U.S.",,,,,
1020,Jennifer Jason Leigh,1962-02-05,Noah Baumbach ( m.  2005;  div.  2013),1,,Actress,"Hollywood ,  California , U.S.",1969-09-03,"New York City , U.S.",Filmmaker,Jennifer Jason Leigh ( m.   2005 ;  div.   2013 ),2
1021,Bethany Joy Lenz,1981-04-02,Michael Galeotti  ( m.  2005–2012),1,,"Actress ,  singer-songwriter ,  screenwriter ,  jewelry designer","Hollywood, Florida , U.S.",,,,,
1022,Kay Lenz,1953-03-04,David Cassidy ( m.  1977;  div.  1983),,,Actress,"Los Angeles ,  California , U.S.",1950-04-12,"Manhattan, New York City , U.S.","
 Actor 
 singer 
 songwriter 
 musician 
",Kay Lenz ( m.  1977;  div.  1983) Meryl Tanz ( m.  1984;  div.   1985 ) Sue Shifrin ( m.  1991;  div.  2016),"2, including  Katie Cassidy"
1023,Melissa Leo,1960-09-14,,1,,Actress,"Manhattan , New York, U.S.",,,,,
1024,Téa Leoni,1966-02-25,Neil Joseph Tardio Jr. ( m.  1991;  div.  1995) David Duchovny ( m.  1997;  div.  2014),2,,Actress,"New York City , New York, U.S.",,,,,
1025,Joan Leslie,1925-01-26,Dr. William G. Caldwell ( m.  1950; died 2000),2,,"Actress, dancer, vaudevillian","Detroit, Michigan , U.S.",,,,,
1026,Margarita Levieva,1980-02-09,,,,Actress,"Leningrad ,  Russian SFSR ,  Soviet Union",,,,,
1027,Jenifer Lewis,,,1,Kinloch High SchoolWebster University,"Actress, singer, activist","St. Louis, Missouri , U.S.",,,,,
1028,Juliette Lewis,1973-06-21,Steve Berra ( m.  1999;  div.  2003),,,"
 Actress 
 singer 
","Los Angeles ,  California , U.S.",1973-05-10,"St. Louis, Missouri ,  U.S.","Skateboarder ,  film director ,  screenwriter ,  actor",Juliette Lewis  ( m.  1999–2003),2
1029,Vicki Lewis,1960-03-17,Philip Allen ( m.  2008),,,"Actress, singer","Cincinnati, Ohio , U.S.",,,,,
1030,Jennifer Lien,1974-08-24,Phil Hwang,1,Professional Children's School,retired Actress,"Palos Heights, Illinois , U.S.",,,,,
1031,Judith Light,1949-02-09,Robert Desiderio  ( m.  1985),,Carnegie Mellon University (BFA),"Actress, producer","Trenton, New Jersey , U.S.",1951-09-09,"Manhattan ,  New York City , U.S.",,Judith Light  ( m.  1985),
1032,Morgan Lily,2000-04-11,,,,"Actress, model","Santa Monica ,  California , U.S.",,,,,
1033,Sophia Lillis,2002-02-13,,,,Actress,"Crown Heights ,  New York City , U.S.",,,,,
1034,Riki Lindhome,1979-03-05,,,,"Actress, musician, comedian","Coudersport, Pennsylvania , U.S.",,,,,
1035,Margaret Lindsay,1910-09-19,Mary McCarty (died 1980),,,,"Dubuque , Iowa, US",,,,,
1036,Bai Ling,1966-10-10,,,,Actress,"Chengdu ,  Sichuan , China",,,,,
1037,Laura Linney,1964-02-05,David Adkins ( m.  1995;  div.  2000) Marc Schauer  ( m.  2009),1,Brown University (BA)Juilliard School (GrDip),"
 Actress 
 singer 
","New York City , U.S.",,"Easton, Maryland , U.S.","Actor, playwright",Laura Linney ( m.  1995;  div.  2000),
1038,Peggy Lipton,1946-08-30,Quincy Jones ( m.  1974;  div.  1990),Kidada Jones Rashida Jones,Professional Children's School,Actress model,"New York City, New York , U.S.",1933-03-14,"Chicago, Illinois , U.S.",Record producer multi-instrumentalist conductor arranger record executive,Jeri Caldwell ( m.  1957;  div.  1966) Ulla Andersson ( m.  1967;  div.  1974) Peggy Lipton ( m.  1974;  div.  1990),"7 (including  Quincy ,  Kidada ,  Rashida , and  Kenya )"
1039,Peyton List,1986-08-08,,,,"Actress, model","Boston ,  Massachusetts , U.S.",,,,,
1040,Peyton List,1998-04-06,,,,"
 Actress 
 model 
","Florida ,  U.S.",,,,,
1041,Zoe Lister-Jones,1982-09-01,Daryl Wein  ( m.  2013),,,"Actress, producer, director, writer","Brooklyn ,  New York City , U.S.",1983-12-23,"Los Angeles, California","Filmmaker, actor",Zoe Lister-Jones  (m. 2013),
1042,Lucy Liu,1968-12-02,,1,Stuyvesant High School[1],"Actress, voice actress, director, artist","Queens ,  New York City , U.S.",,,,,
1043,Blake Lively,1987-08-25,Ryan Reynolds  ( m.  2012),2,,Actress,"Los Angeles ,  California , U.S.",1976-10-23,"Vancouver ,  British Columbia , Canada","
 Actor 
 comedian 
 film producer 
 screenwriter 
",Scarlett Johansson ( m.  2008;  div.  2011) Blake Lively  ( m.  2012),2
1044,Sabrina Jane Lloyd,1970-11-20,Ross Smith ( m.  1997),,,Actress,"Fairfax County, Virginia , U.S.",,,,,
1045,Amy Locane,1971-12-19,Mark Bovenizer ( m.  2008;  div.  2017),2,,Actress,"Trenton, New Jersey",,,,,
1046,Sondra Locke,1944-05-28,Gordon Anderson ( m.  1967),,,"
 Actress 
 director 
 singer 
 model 
 author 
","Madison County ,  Alabama , U.S.",,,,,
1047,Heather Locklear,1961-09-25,Tommy Lee  ( m.  1986–1993) Richie Sambora  ( m.  1994–2007),1,,Actress,"Los Angeles ,  California , U.S.",1962-10-03,"Athens, Greece","
 Musician 
 songwriter 
 drummer 
 DJ 
",Elaine Starchuk ( m.  1984;  div.  1985) Heather Locklear ( m.  1986;  div.  1993) Pamela Anderson ( m.  1995;  div.  1998) Brittany Furlan  ( m.  2019),2
1048,Lindsay Lohan,1986-07-02,,,,"
 Actress 
 businesswoman 
 producer 
 singer 
 fashion designer 
","New York City , U.S.",,,,,
1049,Alison Lohman,1979-09-18,Mark Neveldine  ( m.  2009),2,,Actress,"Palm Springs ,  California , U.S.",1973-05-11,"Watertown, New York , United States","Film director, film producer, screenwriter,  camera operator",Alison Lohman  ( m.  2009),2
1050,Kristanna Loken,1979-10-08,Noah Danby ( m.  2008;  div.  2009),1,,"Actress, model","Ghent, New York ,  U.S.",1974-04-24,"Guelph ,  Ontario ,  Canada","Actor, model",Kristanna Loken  (2008–2009),
1051,Carole Lombard,1908-10-06,William Powell ( m.  1931;  div.  1933) Clark Gable  ( m.  1939),,,Actress,"Fort Wayne, Indiana , U.S.",1892-07-29,"Pittsburgh, Pennsylvania , U.S.",Actor,Eileen Wilson ( m.  1915;  div.  1930) Carole Lombard ( m.  1931;  div.  1933) Diana Lewis  ( m.  1940),William David Powell
1052,Karina Lombard,1969-01-21,None,None,,"Actress, Model","Tahiti ,  French Polynesia ,  France",,,,,
1053,Lauren London,1984-12-05,"
 
 Nipsey Hussle (2013–2019; his death) 
",2,,Actress model television personality,"Los Angeles County ,  California , U.S.",,,,,
1054,Nia Long,1970-10-30,Massai  Dorsey (1999-2001; ex-fiancé)   Ime Udoka  (2010-present; fiancé),2,,Actress,"Brooklyn, New York , U.S.",,,,,
1055,Shelley Long,1949-08-23,,1,,"Actress, comedian","Fort Wayne, Indiana , U.S.",,,,,
1056,Eva Longoria,1975-03-15,Tyler Christopher ( m.  2002;  div.  2004) Tony Parker ( m.   2007 ;  div.   2011 ) José Antonio Bastón ( m.   2016 ),1,,Actress producer restaurateur activist,"Corpus Christi, Texas , U.S.",1972-11-11,"Joliet ,  Illinois ,  U.S.",Actor,Eva Longoria ( m.  2002;  div.  2004) Brienne Pedigo  ( m.  2008),2
1057,Jennifer López,1969-07-24,"
 Ojani Noa ( m.  1997;  div.  1998) 
 Cris Judd ( m.  2001;  div.  2003) 
 Marc Anthony ( m.  2004;  div.  2014) 
",2,,Actress singer dancer producer,"The Bronx ,  New York City , U.S.",,,,,
1058,Traci Lords,1968-05-07,"
 Brook Yeaton ( m.  1990;  div.  1995) 
 Ryan Granger ( m.  1999;  div.  2000) 
 Jeff Gruenewald ( m.  2002) 
",1,,"
 Actress 
 singer 
 model 
 writer 
 producer 
 director 
","Steubenville, Ohio , U.S.",,,,,
1059,Josie Loren,1987-03-19,Matt Leinart  ( m.   2018 ),,,Actress,"Miami ,  Florida , U.S.",,,,,
1060,Joan Lorring,1926-04-17,Martin Sonenberg ( m.  1956; died 2011),,,Actress,Hong Kong,,,,,
1061,Caity Lotz,1986-12-30,,,,Actress,"San Diego ,  California , U.S.",,,,,
1062,Lori Loughlin,1964-07-28,Michael R. Burns ( m.  1989;  div.  1996) Mossimo Giannulli  ( m.  1997),2; including  Olivia Jade,,"
 Actress 
 model 
 producer 
","Queens , New York, U.S.",1958-08-21,"Long Branch, New Jersey , U.S.",Vice Chairman,Lori Loughlin ( m.  1989;  div.  1996) Pell James  ( m.  2006),3
1063,Tina Louise,1934-02-11,Les Crane ( m.  1966;  div.  1971),Caprice Crane,,"Actress, singer, author","New York City, New York , U.S.",1933-12-03,"New York, New York , U.S.",,Tina Louise ( m.  1966;  div.  1971) Ginger Crane  ( m.  1988),Caprice Crane
1064,Billie Lourd,1992-07-17,,,,Actress,"Los Angeles, California , U.S.",,,,,
1065,Demi Lovato,1992-08-20,,,,"
 Singer 
 songwriter 
 actress 
 author 
 activist 
","Albuquerque, New Mexico , U.S.",,,,,
1066,Bessie Love,1898-09-10,William Hawks ( m.  1929;  div.  1936) [3],Patricia (b. 1932) [3],,Actress,"Midland ,  Texas , U.S. [1]",1901-01-29,"Neenah, Wisconsin",Film producer,"
 Bessie Love ( m.  1929;  div.  1936) 
 Virginia Walker 
 Frances Koshland 
",
1067,Courtney Love,1964-07-09,James Moreland ( m.  1989; annulled 1989) Kurt Cobain ( m.  1992;  died  1994),Frances Bean Cobain,,Singer musician actress,"San Francisco ,  California , U.S.",,,,,
1068,Carey Lowell,1961-02-11,John Stember ( m.  1984;  div.  1988)   Griffin Dunne ( m.  1989;  div.  1995) Richard Gere ( m.  2002;  div.  2016),2; including  Hannah Dunne,Bear Creek High School,"Actress, model","Huntington, New York , U.S.",,,,,
1069,Myrna Loy,1905-08-02,"Arthur Hornblow Jr. ( m.  1936;  div.  1942) John Hertz, Jr. ( m.  1942;  div.  1944) Gene Markey ( m.  1946;  div.  1950) Howland H. Sargeant ( m.  1951;  div.  1960)",,Westlake School for GirlsVenice High School,Actress,"Helena ,  Montana , U.S.",1893-03-15,"New York City ,  New York , United States",Film producer,Juliette Crosby (married 1924)    Myrna Loy  (married 1936–1942)   Leonora Schinasi (married 1945–1976),
1070,Olivia Luccardi,1989-05-17,,,,"Actress, producer","Brooklyn ,  New York , U.S.",,,,,
1071,Shannon Lucio,1980-06-25,,,,Actress,"Denver, Colorado , U.S.",,,,,
1072,Lorna Luft,1952-11-21,Jake Hooker ( m.  1977;  div.  1993) Colin Freeman  ( m.  1996),2,,"Actress, singer, author","Santa Monica, California , U.S.",,,,,
1073,Jamie Luner,1971-05-12,,,,Actress,"Palo Alto, California ,  United States ,  North America",,,,,
1074,Ida Lupino,1918-02-04,Louis Hayward ( m.  1938;  div.  1945) Collier Young ( m.  1948;  div.  1951) Howard Duff ( m.  1951;  div.  1984),2,,"Actress, singer, director, producer","Herne Hill , London, England, UK",1909-03-19,"Johannesburg , South Africa","Stage, film and television actor",Ida Lupino   (m.1938–1945; divorced)   Peggy Morrow Field  (m.1946–1950; divorced)   June Hanson  (m.1953–1985; his death); 1 son,1 [1]
1075,Patti LuPone,1949-04-21,Juilliard School  ( BFA ),1,Juilliard School (BFA),"Actress, singer","Northport, New York , U.S.",,,,,
1076,Masiela Lusha,1985-10-23,Ramzi Habibi ( m.  2013),1,,"Actress, poet, humanitarian","Tirana ,  Albania",,,,,
1077,Dorothy Lyman,1947-04-18,John Tillinger  (1971-1983; divorced) (2 children) Vincent Malle (1987-2001; divorced) (1 child),,,"Actress, director, producer","Minneapolis, Minnesota , U.S.",,,,,
1078,Jane Lynch,1960-07-14,Lara Embry ( m.  2010;  div.  2014),,Illinois State University (BA)Cornell University (MFA),"Actress, voice actress, author, singer, and comedian","Evergreen Park, Illinois , U.S.",,,,,
1079,Kelly Lynch,1959-01-31,Mitch Glazer  ( m.  1992),1,,Actress,"Golden Valley, Minnesota , U.S.",,"Key Biscayne, Florida ,  U.S.","Producer, writer, actor",Wendie Malick ( m.  1982;  div.  1989) Kelly Lynch  ( m.  1992),
1080,Carol Lynley,1942-02-13,Michael Selsman ( m.  1960;  div.  1964),1,,"Actress, former model","Manhattan ,  New York , U.S.",,,,,
1081,Meredith Scott Lynn,1970-03-08,,,,"Actress, director, producer","Brooklyn, New York , U.S.",,,,,
1082,Sue Lyon,1946-07-10,Hampton Fancher ( m.  1963;  div.  1965) Roland Harrison ( m.  1971;  div.  1972) Cotton Adamson ( m.  1973;  div.  1974) Edward Weathers ( m.  1983;  div.  1984) Richard Rudman ( m.  1985;  div.  2002),1 [1],,Actress,"Davenport, Iowa , U.S.",1938-07-18,"East Los Angeles, California ,  US","Screenwriter, producer, actor, director","
 Joann McNabb (1957–63; divorced) 
 Sue Lyon  (1963–65; divorced) 
",
1083,Natasha Lyonne,1979-04-04,Fred Armisen  (2014–present),,,"Actress, Writer, Producer","New York City, New York , U.S.",,,,,
1084,Jes Macallan,1982-08-09,Jason Gray-Stanford ( m.  2012;  div.  2017) [2],,,Actress,"Sarasota, Florida , [1]   U.S.",1970-05-19,"Vancouver ,  British Columbia , Canada","Actor, voice actor",Jes Macallan ( m.  2012;  div.  2017) [1],
1085,June MacCloy,1909-06-02,Wilbur Guthlein (?–1931) Shuyler Schenk (1931–1934) Neal Wendell Butler (1941–1985),,,Actress,"Sturgis, Michigan , U.S.",,,,,
1086,Andie MacDowell,1958-04-21,Paul Qualley ( m.  1986;  div.  1999) Rhett Hartzog ( m.  2001;  div.  2004),"3, including  Margaret Qualley",,"Actress, model","Gaffney, South Carolina , U.S.",,,,,
